Sticker_No,Core_No,Plot,Treatment,fires_since_1986,TSF,Total_carbon,Total_nitrogen,Standard,TreeOpen,CoreDepth,SoilDepth,TopsoilDepth,SoilColour,Weight (g),RatioC:N,Sticker_No,Core_No,Plot,Total_carbon,Total_nitrogen,Bulk_Den_g/cm3
46,80,11,LF,2,8,2.23,0.06,,Open,20,17.1,15,Yellow-Grey,110.33,37.16666667,46,80,11,2.23,0.06,1.552930266
47,125,33,LR,1,4,4.82,0.11,,Tree,20,11.5,4,Yellow,47.37,43.81818182,47,125,33,4.82,0.11,0.991425285
48,107,36,LR,1,4,3.18,0.08,,Tree,20,14.5,7,Yellow,70.69,39.75,48,107,36,3.18,0.08,1.173395521
49,29,108,UF,3,6,5.54,0.08,,Tree,17,12.7,6,Yellow,60.36,69.25,49,29,108,5.54,0.08,1.143931336
50,123,33,LR,1,4,4.73,0.09,,Open,20,13.5,6,Yellow,59.85,52.55555556,50,123,33,4.73,0.09,1.067050154
51,74,7,LF,6,4,1.04,0.02,,Open,20,16.7,1,Yellow,91.47,52,51,74,7,1.04,0.02,1.318307293
52,45,67,UR,3,4,1.07,0.01,,Open,20,17.8,2,Yellow,93.25,107,52,45,67,1.07,0.01,1.260907665
53,113,32,LR,3,4,2.59,0.04,,Tree,20,13.5,4,Yellow,74.26,64.75,53,113,32,2.59,0.04,1.323962313
54,68,72,UR,1,4,4.84,0.05,,Open,20,14.5,3,Yellow,65.58,96.8,54,68,72,4.84,0.05,1.088573748
55,98,35,LR,3,4,3,0.06,,Open,20,15.5,2,Yellow,73.05,50,55,98,35,3,0.06,1.134339274
56,6131,,#N/A,#N/A,#N/A,0.75,0,1% char 1.5% kaolin,N/A,,,,,,#DIV/0!,56,6131,,0.75,0,#DIV/0!
57,106,36,LR,1,4,4.99,0.09,,Tree,12.5,8,6,Grey,30.59,55.44444444,57,106,36,4.99,0.09,0.920330758
58,96,8,LF,3,6,1.6,0,,Tree,20,17.5,7,Yellow,93.87,#DIV/0!,58,96,8,1.6,0,1.291050457
59,120,31,LR,3,4,2.22,0.01,,Tree,20,13.5,2,Yellow,61.87,222,59,120,31,2.22,0.01,1.103064211
60,96,8,LF,3,6,1.6,0.02,,Tree,20,17.5,7,Yellow,93.87,80,60,96,8,1.6,0.02,1.291050457
61,98,35,LR,3,4,2.99,0.06,,Open,20,15.5,2,Yellow,73.05,49.83333333,61,98,35,2.99,0.06,1.134339274
62,111,32,LR,3,4,1.02,0.00946,,Open,20,11,0,Yellow,69.67,107.8224101,62,111,32,1.02,0.00946,1.524430299
63,102,35,LR,3,4,4.21,0.06,,Tree,20,16.7,11,Yellow-Grey,78.43,70.16666667,63,102,35,4.21,0.06,1.130368875
64,96,8,LF,3,6,1.6,0.03,,Tree,20,17.5,7,Yellow,93.87,53.33333333,64,96,8,1.6,0.03,1.291050457
65,25,108,UF,3,6,1.46,0.01,,Open,20,15.6,8,Yellow,85.51,146,65,25,108,1.46,0.01,1.319309697
66,74,7,LF,6,4,1.05,0.02,,Open,20,16.7,1,Yellow,91.47,52.5,66,74,7,1.05,0.02,1.318307293
67,125,33,LR,1,4,4.89,0.09,,Tree,20,11.5,4,Yellow,47.37,54.33333333,67,125,33,4.89,0.09,0.991425285
68,123,33,LR,1,4,4.83,0.07,,Open,20,13.5,6,Yellow,59.85,69,68,123,33,4.83,0.07,1.067050154
69,101,35,LR,3,4,4.03,0.08,,Tree,20,16,6,Grey,75.38,50.375,69,101,35,4.03,0.08,1.133941362
70,71,72,UR,1,4,4.08,0.06,,Tree,18.5,14.8,7,Yellow,61.38,68,70,71,72,4.08,0.06,0.998204711
71,101,35,LR,3,4,4.03,0.08,,Tree,20,16,6,Grey,75.38,50.375,71,101,35,4.03,0.08,1.133941362
72,123,33,LR,1,4,4.88,0.07,,Open,20,13.5,6,Yellow,59.85,69.71428571,72,123,33,4.88,0.07,1.067050154
73,80,11,LF,2,8,2.17,0.03,,Open,20,17.1,15,Yellow-Grey,110.33,72.33333333,73,80,11,2.17,0.03,1.552930266
74,96,8,LF,3,6,1.6,0.03,,Tree,20,17.5,7,Yellow,93.87,53.33333333,74,96,8,1.6,0.03,1.291050457
75,124,33,LR,1,4,3.18,0.05,,Tree,14,13,4,Yellow-Grey,62.37,63.6,75,124,33,3.18,0.05,1.154746989
76,72,72,UR,1,4,5.19,0.12,,Tree,18.5,14,6,Yellow,62.16,43.25,76,72,72,5.19,0.12,1.068654741
77,106,36,LR,1,4,5.01,0.09,,Tree,12.5,8,6,Grey,30.59,55.66666667,77,106,36,5.01,0.09,0.920330758
78,118,31,LR,3,4,2.61,0.02,,Tree,20,11.5,2,Yellow,57.11,130.5,78,118,31,2.61,0.02,1.195277561
79,113,32,LR,3,4,2.6,0.03,,Tree,20,13.5,4,Yellow,74.26,86.66666667,79,113,32,2.6,0.03,1.323962313
80,104,36,LR,1,4,1.96,0.04,,Open,20,12,2,Yellow,54.93,49,80,104,36,1.96,0.04,1.101749341
81,98,35,LR,3,4,2.98,0.06,,Open,20,15.5,2,Yellow,73.05,49.66666667,81,98,35,2.98,0.06,1.134339274
82,92,8,LF,3,6,1.35,0.03,,Open,20,16.8,7,Yellow,94.99,45,82,92,8,1.35,0.03,1.360890093
83,91,8,LF,3,6,1.23,0.01,,Open,20,17,1,Yellow,97.51,123,83,91,8,1.23,0.01,1.380558079
84,68,72,UR,1,4,4.84,0.04,,Open,20,14.5,3,Yellow,65.58,121,84,68,72,4.84,0.04,1.088573748
85,107,36,LR,1,4,3.26,0.05,,Tree,20,14.5,7,Yellow,70.69,65.2,85,107,36,3.26,0.05,1.173395521
86,73,7,LF,6,4,2.72,0.03,,Open,20,15.5,10,Yellow,82.47,90.66666667,86,73,7,2.72,0.03,1.280615467
87,74,7,LF,6,4,1.06,0.01,,Open,20,16.7,1,Yellow,91.47,106,87,74,7,1.06,0.01,1.318307293
88,76,7,LF,6,4,4.41,0.05,,Tree,20,16.5,7,Yellow,76.79,88.2,88,76,7,4.41,0.05,1.120147387
89,29,108,UF,3,6,5.63,0.05,,Tree,17,12.7,6,Yellow,60.36,112.6,89,29,108,5.63,0.05,1.143931336
90,6130,,#N/A,#N/A,#N/A,0,0,12.5% kaolin,N/A,,,,,,#DIV/0!,90,6130,,0,0,#DIV/0!
91,25,108,UF,3,6,1.46,0.01,,Open,20,15.6,8,Yellow,85.51,146,91,25,108,1.46,0.01,1.319309697
92,71,72,UR,1,4,4.08,0.05,,Tree,18.5,14.8,7,Yellow,61.38,81.6,92,71,72,4.08,0.05,0.998204711
93,91,8,LF,3,6,1.22,0.01,,Open,20,17,1,Yellow,97.51,122,93,91,8,1.22,0.01,1.380558079
94,90,9,LF,5,4,2.17,0.03,,Tree,20,15,4,Grey,83.49,72.33333333,94,90,9,2.17,0.03,1.339669434
95,121,33,LR,1,4,8.47,0.16,,Open,20,13.6,10,Yellow-Grey,46.18,52.9375,95,121,33,8.47,0.16,0.817277357
96,125,33,LR,1,4,4.91,0.07,,Tree,20,11.5,4,Yellow,47.37,70.14285714,96,125,33,4.91,0.07,0.991425285
97,106,36,LR,1,4,4.99,0.08,,Tree,12.5,8,6,Grey,30.59,62.375,97,106,36,4.99,0.08,0.920330758
98,115,31,LR,3,4,2.1,0.02,,Open,20,14.5,3,Yellow,71.74,105,98,115,31,2.1,0.02,1.190824652
99,92,8,LF,3,6,1.36,0.02,,Open,20,16.8,7,Yellow,94.99,68,99,92,8,1.36,0.02,1.360890093
100,72,72,UR,1,4,5.2,0.1,,Tree,18.5,14,6,Yellow,62.16,52,100,72,72,5.2,0.1,1.068654741
101,61,70,UR,4,4,1.37,0.01,,Open,16,16,1,Yellow,100.75,137,101,61,70,1.37,0.01,1.515582279
102,85,9,LF,5,4,1.64,0.02,,Open,17,16,2,Yellow,89.35,82,102,85,9,1.64,0.02,1.344092076
103,117,31,LR,3,4,2.83,0.04,,Open,20,14,4,Yellow,69.86,70.75,103,117,31,2.83,0.04,1.201033143
104,52,68,UR,1,4,4.95,0.03,,Tree,17.5,14.5,2,Yellow-Grey,66.32,165,104,52,68,4.95,0.03,1.100857136
105,110,32,LR,3,4,1.44,0.01,,Open,20,18,4,Yellow,101.64,144,105,110,32,1.44,0.01,1.359084933
106,13,106,UF,3,4,3.59,0.03,,Open,19,15.5,3,Yellow,73.13,119.6666667,106,13,106,3.59,0.03,1.135581534
107,38,69,UR,3,4,1.52,0.02,,Open,20,17.7,6,Grey,107.5,76,107,38,69,1.52,0.02,1.461805678
108,9,105,UF,5,4,3.29,0.05,,Open,18.5,14,3.5,Yellow,59.03,65.8,108,9,105,3.29,0.05,1.01484378
109,85,9,LF,5,4,1.65,0.02,,Open,17,16,2,Yellow,89.35,82.5,109,85,9,1.65,0.02,1.344092076
110,32,107,UF,4,4,2.18,0.07,,Open,20,18.8,7,Yellow-Grey,98.34,31.14285714,110,32,107,2.18,0.07,1.259003105
111,116,31,LR,3,4,2.15,0.04,,Open,20,15,5,Yellow,73.58,53.75,111,116,31,2.15,0.04,1.180654892
