Sticker_No,Core_No,Plot,Treatment,fires_since_1986,TSF,Total_carbon,Total_nitrogen,Standard,TreeOpen,CoreDepth,SoilDepth,TopsoilDepth,SoilColour,Weight (g),RatioC:N,Sticker_No,Core_No,Plot,Total_carbon,Total_nitrogen,Bulk_Den_g/cm3
483,128,34,LR,3,4,2.98,0.05,,Open,20,15,7,Yellow,68.07,59.6,483,128,34,2.98,0.05,1.092242165
484,144,44,LF,6,6,1.74,0.03,,Tree,20,15.2,2,Yellow,84.69,58,484,144,44,1.74,0.03,1.341043889
485,151,46,LF,4,6,2.26,0.04,,Open,20,14,4,Yellow,77.82,56.5,485,151,46,2.26,0.04,1.337881466
486,146,45,LF,4,6,2.41,0.05,,Open,20,14,3,Yellow,67.62,48.2,486,146,45,2.41,0.05,1.162523063
487,134,43,LF,1,6,4.72,0.1,,Open,10,9,5,Yellow,35.67,47.2,487,134,43,4.72,0.1,0.953926792
488,129,34,LR,3,4,2.86,0.05,,Open,20,15.8,5,Yellow-Grey,82.96,57.2,488,129,34,2.86,0.05,1.263764359
489,53,68,UR,1,4,4.01,0.08,,Tree,20,17,8,Grey,77.02,50.125,489,53,68,4.01,0.08,1.090458242
490,11,105,UF,5,4,5.79,0.07,,Tree,18,12.8,,Yellow,52.91,82.71428571,490,11,105,5.79,0.07,0.994906432
491,162,47,LF,6,4,1.62,0.03,,Tree,20,16.4,2.5,Yellow,91.8,54,491,162,47,1.62,0.03,1.347265782
492,127,34,LR,3,4,3.43,0.05,,Open,20,16.3,4,Yellow,70.27,68.6,492,127,34,3.43,0.05,1.037616324
493,88,9,LF,5,4,1.58,0.03,,Tree,20,12,1,Yellow,61.1,52.66666667,493,88,9,1.58,0.03,1.22550309
494,149,45,LF,4,6,3.43,0.05,,Tree,20,14.5,5,Yellow,72.36,68.6,494,149,45,3.43,0.05,1.201116139
495,148,45,LF,4,6,5.58,0.08,,Tree,20,14.2,2,Yellow,62.53,69.75,495,148,45,5.58,0.08,1.059874714
496,146,45,LF,4,6,2.43,0.04,,Open,20,14,3,Yellow,67.62,60.75,496,146,45,2.43,0.04,1.162523063
497,142,44,LF,6,6,6.34,0.08,,Tree,20,16,11,Grey,80.02,79.25,497,142,44,6.34,0.08,1.203740883
498,131,34,LR,3,4,3.12,0.05,,Tree,20,12.5,1,Yellow,52.94,62.4,498,131,34,3.12,0.05,1.019361837
499,126,33,LR,1,4,3.73,0.07,,Tree,20,14.5,2,Grey,65.9,53.28571429,499,126,33,3.73,0.07,1.093885483
500,147,45,LF,4,6,1.36,0.02,,Open,20,14.5,3,Yellow,93.71,68,500,147,45,1.36,0.02,1.555508477
501,161,47,LF,6,4,2.6,0.05,,Tree,20,12,2.5,Yellow,59.67,52,501,161,47,2.6,0.05,1.196821103
502,3058,74,UN,0,40,2.82,0.06,,Tree,20,15.7,3,Grey,83.8,47,502,3058,74,2.82,0.06,1.284691388
503,3056,74,UN,0,40,2.26,0.05,,Open,20,17.5,8,Grey,89.23,45.2,503,3056,74,2.26,0.05,1.227233752
504,3030,98,UR,3,4,2.49,0.05,,Tree,20,17.4,7,Yellow,87.39,49.8,504,3030,98,2.49,0.05,1.208834755
505,3036,42,UF,5,4,2.36,0.04,,Tree,18,16.1,6,Yellow,87.7,59,505,3036,42,2.36,0.04,1.311076895
506,3117,50,UR,4,4,1.51,0.02,,Open,20,17.4,2,Yellow,97.73,75.5,506,3117,50,1.51,0.02,1.351864293
507,2009,99,UR,3,4,2.07,0.05,,Open,20,17.3,7,Yellow,89.65,41.4,507,2009,99,2.07,0.05,1.247264718
508,3035,42,UF,5,4,1.62,0.02,,Tree,20,16.9,3,Yellow,86.26,81,508,3035,42,1.62,0.02,1.228505756
509,2001,73,UN,0,40,0.95,0.03,,Open,20,18.2,5,Yellow,107.53,31.66666667,509,2001,73,0.95,0.03,1.42204292
510,3046,40,UF,3,4,3.78,0.05,,Tree,20,15.2,10,Grey,70.24,75.6,510,3046,40,3.78,0.05,1.112231937
511,3123,49,UR,3,4,2.13,0.03,,Open,20,14,6,Yellow,74.43,71,511,3123,49,2.13,0.03,1.279600585
512,3055,74,UN,0,40,1.89,0.03,,Open,20,15.9,3,Yellow,82.78,63,512,3055,74,1.89,0.03,1.253091385
513,3052,39,UF,2,4,3.97,0.05,,Tree,20,13,4,Yellow,71.02,79.4,513,3052,39,3.97,0.05,1.314897084
514,2001,73,UN,0,40,0.95,0.03,,Open,20,18.2,5,Yellow,107.53,31.66666667,514,2001,73,0.95,0.03,1.42204292
515,3043,40,UF,3,4,2.78,0.05,,Open,20,15.8,10,Grey,83.84,55.6,515,3043,40,2.78,0.05,1.277169767
516,3060,74,UN,0,40,4.64,0.1,,Tree,14,12.8,8,Grey,53.82,46.4,516,3060,74,4.64,0.1,1.012017845
517,3052,39,UF,2,4,4.02,0.05,,Tree,20,13,4,Yellow,71.02,80.4,517,3052,39,4.02,0.05,1.314897084
518,3041,41,UF,6,6,5.36,0.11,,Tree,20,17.3,10,Grey,79.23,48.72727273,518,3041,41,5.36,0.11,1.102295411
519,158,47,LF,6,4,1.64,0.02,,Open,20,14.8,1,Yellow,74.98,82,519,158,47,1.64,0.02,1.219377472
520,3126,49,UR,3,4,1.5,0.02,,Tree,20,16.5,2,Yellow,90.24,75,520,3126,49,1.5,0.02,1.316344578
521,3058,74,UN,0,40,2.84,0.06,,Tree,20,15.7,3,Grey,83.8,47.33333333,521,3058,74,2.84,0.06,1.284691388
522,3143,17,LF,3,4,3.72,0.05,,Tree,18,13.1,4,Yellow,63.76,74.4,522,3143,17,3.72,0.05,1.171470777
523,3055,74,UN,0,40,1.88,0.03,,Open,20,15.9,3,Yellow,82.78,62.66666667,523,3055,74,1.88,0.03,1.253091385
524,3035,42,UF,5,4,1.64,0.02,,Tree,20,16.9,3,Yellow,86.26,82,524,3035,42,1.64,0.02,1.228505756
525,3046,40,UF,3,4,3.81,0.05,,Tree,20,15.2,10,Grey,70.24,76.2,525,3046,40,3.81,0.05,1.112231937
526,3036,42,UF,5,4,2.39,0.04,,Tree,18,16.1,6,Yellow,87.7,59.75,526,3036,42,2.39,0.04,1.311076895
527,158,47,LF,6,4,1.63,0.02,,Open,20,14.8,1,Yellow,74.98,81.5,527,158,47,1.63,0.02,1.219377472
528,3051,39,UF,2,4,2.14,0.07,,Open,19,17,7,Yellow-Grey,91.45,30.57142857,528,3051,39,2.14,0.07,1.294759884
529,3155,16,LF,4,4,2.53,0.04,,Tree,18,13,6,Yellow,62.45,63.25,529,3155,16,2.53,0.04,1.156228146
530,2015,101,UR,4,4,1.24,0.02,,Open,20,17.5,5,Yellow,108.89,62,530,2015,101,1.24,0.02,1.497629533
531,160,47,LF,6,4,1.23,0.02,,Tree,20,13.2,0,Yellow,80.1,61.5,531,160,47,1.23,0.02,1.460538574
532,3052,39,UF,2,4,3.98,0.05,,Tree,20,13,4,Yellow,71.02,79.6,532,3052,39,3.98,0.05,1.314897084
533,3029,98,UR,3,4,2.89,0.04,,Tree,20,16.8,7,Yellow,91.68,72.25,533,3029,98,2.89,0.04,1.313468826
534,3059,74,UN,0,40,3.69,0.07,,Tree,20,17.2,8,Yellow-Grey,78.62,52.71428571,534,3059,74,3.69,0.07,1.100168077
535,161,47,LF,6,4,2.64,0.04,,Tree,20,12,2.5,Yellow,59.67,66,535,161,47,2.64,0.04,1.196821103
536,6130,,#N/A,#N/A,#N/A,0,0.00151,12.5% kaolin,N/A,,,,,,0,536,6130,,0,0.00151,#DIV/0!
537,150,45,LF,4,6,2.67,0.04,,Tree,20,14.1,5,Yellow,70.26,66.75,537,150,45,2.67,0.04,1.199343206
538,3040,41,UF,6,6,1.45,0.03,,Tree,20,16.8,3,Yellow,88.49,48.33333333,538,3040,41,1.45,0.03,1.267766758
539,2015,101,UR,4,4,1.23,0.02,,Open,20,17.5,5,Yellow,108.89,61.5,539,2015,101,1.23,0.02,1.497629533
540,3039,41,UF,6,6,2.54,0.06,,Open,18,13.9,7,Yellow,71.81,42.33333333,540,3039,41,2.54,0.06,1.243439253
541,152,46,LF,4,6,2.53,0.04,,Open,20,16,5,Yellow,71.09,63.25,541,152,46,2.53,0.04,1.069406891
542,3060,74,UN,0,40,4.67,0.1,,Tree,14,12.8,8,Grey,53.82,46.7,542,3060,74,4.67,0.1,1.012017845
543,3036,42,UF,5,4,2.38,0.04,,Tree,18,16.1,6,Yellow,87.7,59.5,543,3036,42,2.38,0.04,1.311076895
544,155,46,LF,4,6,2.17,0.03,,Tree,20,13.2,1,Yellow,70.31,72.33333333,544,155,46,2.17,0.03,1.282028304
545,3126,49,UR,3,4,1.49,0.02,,Tree,20,16.5,2,Yellow,90.24,74.5,545,3126,49,1.49,0.02,1.316344578
546,3030,98,UR,3,4,2.52,0.05,,Tree,20,17.4,7,Yellow,87.39,50.4,546,3030,98,2.52,0.05,1.208834755
547,3155,16,LF,4,4,2.53,0.03,,Tree,18,13,6,Yellow,62.45,84.33333333,547,3155,16,2.53,0.03,1.156228146
548,2040,78,UN,0,40,1.89,0.05,,Tree,20,18.1,6,Yellow,108.93,37.8,548,2040,78,1.89,0.05,1.448516262
549,3040,41,UF,6,6,1.45,0.03,,Tree,20,16.8,3,Yellow,88.49,48.33333333,549,3040,41,1.45,0.03,1.267766758
550,3059,74,UN,0,40,3.68,0.07,,Tree,20,17.2,8,Yellow-Grey,78.62,52.57142857,550,3059,74,3.68,0.07,1.100168077
551,3056,74,UN,0,40,2.3,0.05,,Open,20,17.5,8,Grey,89.23,46,551,3056,74,2.3,0.05,1.227233752
552,3058,74,UN,0,40,2.86,0.06,,Tree,20,15.7,3,Grey,83.8,47.66666667,552,3058,74,2.86,0.06,1.284691388
553,3055,74,UN,0,40,1.92,0.03,,Open,20,15.9,3,Yellow,82.78,64,553,3055,74,1.92,0.03,1.253091385
554,150,45,LF,4,6,2.67,0.04,,Tree,20,14.1,5,Yellow,70.26,66.75,554,150,45,2.67,0.04,1.199343206
555,3046,40,UF,3,4,3.82,0.05,,Tree,20,15.2,10,Grey,70.24,76.4,555,3046,40,3.82,0.05,1.112231937
556,2040,78,UN,0,40,1.89,0.04,,Tree,20,18.1,6,Yellow,108.93,47.25,556,2040,78,1.89,0.04,1.448516262
557,2009,99,UR,3,4,2.09,0.05,,Open,20,17.3,7,Yellow,89.65,41.8,557,2009,99,2.09,0.05,1.247264718
558,3043,40,UF,3,4,2.78,0.04,,Open,20,15.8,10,Grey,83.84,69.5,558,3043,40,2.78,0.04,1.277169767
559,2001,73,UN,0,40,0.96,0.03,,Open,20,18.2,5,Yellow,107.53,32,559,2001,73,0.96,0.03,1.42204292
560,3117,50,UR,4,4,1.54,0.02,,Open,20,17.4,2,Yellow,97.73,77,560,3117,50,1.54,0.02,1.351864293
561,31,107,UF,4,4,2.87,0.08,,Open,20,18.5,5,Yellow-Grey,93.86,35.875,561,31,107,2.87,0.08,1.221133844
562,3051,39,UF,2,4,2.14,0.06,,Open,19,17,7,Yellow-Grey,91.45,35.66666667,562,3051,39,2.14,0.06,1.294759884
563,158,47,LF,6,4,1.65,0.02,,Open,20,14.8,1,Yellow,74.98,82.5,563,158,47,1.65,0.02,1.219377472
564,3029,98,UR,3,4,2.9,0.04,,Tree,20,16.8,7,Yellow,91.68,72.5,564,3029,98,2.9,0.04,1.313468826
565,3126,49,UR,3,4,1.5,0.02,,Tree,20,16.5,2,Yellow,90.24,75,565,3126,49,1.5,0.02,1.316344578
566,152,46,LF,4,6,2.56,0.04,,Open,20,16,5,Yellow,71.09,64,566,152,46,2.56,0.04,1.069406891
567,3075,38,UF,3,4,1.91,0.02,,Open,20,15.7,7,Yellow,90.5,95.5,567,3075,38,1.91,0.02,1.387405377
568,6132,,#N/A,#N/A,#N/A,3.99,0.00496,5% char 1.5% kaolin,N/A,,,,,,804.4354839,568,6132,,3.99,0.00496,#DIV/0!
569,3041,41,UF,6,6,5.44,0.11,,Tree,20,17.3,10,Grey,79.23,49.45454545,569,3041,41,5.44,0.11,1.102295411
570,155,46,LF,4,6,2.16,0.03,,Tree,20,13.2,1,Yellow,70.31,72,570,155,46,2.16,0.03,1.282028304
571,3030,98,UR,3,4,2.51,0.06,,Tree,20,17.4,7,Yellow,87.39,41.83333333,571,3030,98,2.51,0.06,1.208834755
572,3039,41,UF,6,6,2.58,0.08,,Open,18,13.9,7,Yellow,71.81,32.25,572,3039,41,2.58,0.08,1.243439253
573,158,47,LF,6,4,1.63,0.02,,Open,20,14.8,1,Yellow,74.98,81.5,573,158,47,1.63,0.02,1.219377472
574,3059,74,UN,0,40,3.73,0.07,,Tree,20,17.2,8,Yellow-Grey,78.62,53.28571429,574,3059,74,3.73,0.07,1.100168077
575,2009,99,UR,3,4,2.1,0.05,,Open,20,17.3,7,Yellow,89.65,42,575,2009,99,2.1,0.05,1.247264718
576,3040,41,UF,6,6,1.47,0.03,,Tree,20,16.8,3,Yellow,88.49,49,576,3040,41,1.47,0.03,1.267766758
577,3123,49,UR,3,4,2.16,0.03,,Open,20,14,6,Yellow,74.43,72,577,3123,49,2.16,0.03,1.279600585
578,3060,74,UN,0,40,4.68,0.1,,Tree,14,12.8,8,Grey,53.82,46.8,578,3060,74,4.68,0.1,1.012017845
579,160,47,LF,6,4,1.23,0.02,,Tree,20,13.2,0,Yellow,80.1,61.5,579,160,47,1.23,0.02,1.460538574
580,3051,39,UF,2,4,2.17,0.07,,Open,19,17,7,Yellow-Grey,91.45,31,580,3051,39,2.17,0.07,1.294759884
581,3029,98,UR,3,4,2.92,0.05,,Tree,20,16.8,7,Yellow,91.68,58.4,581,3029,98,2.92,0.05,1.313468826
582,161,47,LF,6,4,2.66,0.05,,Tree,20,12,2.5,Yellow,59.67,53.2,582,161,47,2.66,0.05,1.196821103
583,3043,40,UF,3,4,2.79,0.04,,Open,20,15.8,10,Grey,83.84,69.75,583,3043,40,2.79,0.04,1.277169767
584,3056,74,UN,0,40,2.31,0.05,,Open,20,17.5,8,Grey,89.23,46.2,584,3056,74,2.31,0.05,1.227233752
585,3041,41,UF,6,6,5.44,0.11,,Tree,20,17.3,10,Grey,79.23,49.45454545,585,3041,41,5.44,0.11,1.102295411
586,3143,17,LF,3,4,3.76,0.05,,Tree,18,13.1,4,Yellow,63.76,75.2,586,3143,17,3.76,0.05,1.171470777
587,150,45,LF,4,6,2.69,0.04,,Tree,20,14.1,5,Yellow,70.26,67.25,587,150,45,2.69,0.04,1.199343206
588,3035,42,UF,5,4,1.66,0.02,,Tree,20,16.9,3,Yellow,86.26,83,588,3035,42,1.66,0.02,1.228505756
589,6131,,#N/A,#N/A,#N/A,0.78,0.00399,1% char 1.5% kaolin,N/A,,,,,,195.4887218,589,6131,,0.78,0.00399,#DIV/0!
590,3039,41,UF,6,6,2.58,0.06,,Open,18,13.9,7,Yellow,71.81,43,590,3039,41,2.58,0.06,1.243439253
591,155,46,LF,4,6,2.18,0.03,,Tree,20,13.2,1,Yellow,70.31,72.66666667,591,155,46,2.18,0.03,1.282028304
592,2015,101,UR,4,4,1.25,0.02,,Open,20,17.5,5,Yellow,108.89,62.5,592,2015,101,1.25,0.02,1.497629533
593,152,46,LF,4,6,2.57,0.04,,Open,20,16,5,Yellow,71.09,64.25,593,152,46,2.57,0.04,1.069406891
594,3123,49,UR,3,4,2.15,0.03,,Open,20,14,6,Yellow,74.43,71.66666667,594,3123,49,2.15,0.03,1.279600585
595,160,47,LF,6,4,1.24,0.02,,Tree,20,13.2,0,Yellow,80.1,62,595,160,47,1.24,0.02,1.460538574
596,3155,16,LF,4,4,2.54,0.04,,Tree,18,13,6,Yellow,62.45,63.5,596,3155,16,2.54,0.04,1.156228146
597,3117,50,UR,4,4,1.56,0.03,,Open,20,17.4,2,Yellow,97.73,52,597,3117,50,1.56,0.03,1.351864293
598,158,47,LF,6,4,1.66,0.02,,Open,20,14.8,1,Yellow,74.98,83,598,158,47,1.66,0.02,1.219377472
599,3143,17,LF,3,4,3.76,0.05,,Tree,18,13.1,4,Yellow,63.76,75.2,599,3143,17,3.76,0.05,1.171470777
600,2040,78,UN,0,40,1.91,0.05,,Tree,20,18.1,6,Yellow,108.93,38.2,600,2040,78,1.91,0.05,1.448516262
601,2036,77,UN,0,40,4.25,0.07,,Tree,14,12.9,5,Grey,65.35,60.71428571,601,2036,77,4.25,0.07,1.219299311
602,2032,77,UN,0,40,1.13,0.03,,Open,19.5,15.7,3,Yellow,93.94,37.66666667,602,2032,77,1.13,0.03,1.440142112
603,2006,73,UN,0,40,7.52,0.18,,Tree,11.5,6.5,,,17.32,41.77777778,603,2006,73,7.52,0.18,0.64134096
604,2048,76,UN,0,40,4.66,0.07,,Tree,15,12.8,2,Grey,62.84,66.57142857,604,2048,76,4.66,0.07,1.181627673
605,2039,78,UN,0,40,1.23,0.04,,Open,20,18.2,5,Yellow,111.95,30.75,605,2039,78,1.23,0.04,1.480495721
606,2023,4,LN,0,40,5.28,0.1,,Tree,20,15.9,9,Grey,69.86,52.8,606,2023,4,5.28,0.1,1.05751346
607,3048,40,UF,3,4,2.66,0.03,,Tree,20,15.1,2,Yellow,78.28,88.66666667,607,3048,40,2.66,0.03,1.24775212
608,2030,5,LN,0,40,2.63,0.04,,Tree,12,12,1,Yellow-Grey,69.42,65.75,608,2030,5,2.63,0.04,1.392380107
609,2025,5,LN,0,40,5.03,0.07,,Open,18,14,6,Grey,68.14,71.85714286,609,2025,5,5.03,0.07,1.171462903
610,2041,78,UN,0,40,1.64,0.06,,Tree,20,16.3,14,Yellow,85.86,27.33333333,610,2041,78,1.64,0.06,1.267820373
611,2038,78,UN,0,40,2.72,0.07,,Open,13,10.4,4,Yellow-Grey,47.19,38.85714286,611,2038,78,2.72,0.07,1.092121821
612,3044,40,UF,3,4,1.58,0.03,,Open,20,18.4,5,Yellow-Grey,96.71,52.66666667,612,3044,40,1.58,0.03,1.26505092
613,6130,,#N/A,#N/A,#N/A,0,0.00172,12.5% kaolin,N/A,,,,,,0,613,6130,,0,0.00172,#DIV/0!
614,2046,76,UN,0,40,6.85,0.1,,Tree,16,14.8,8,Yellow-Grey,59.09,68.5,614,2046,76,6.85,0.1,0.960963121
615,2042,78,UN,0,40,4.74,0.1,,Tree,15,14,7,Grey,67.3,47.4,615,2042,78,4.74,0.1,1.157021622
616,3053,39,UF,2,4,3.57,0.06,,Tree,20,14.5,4,Yellow,78.64,59.5,616,3053,39,3.57,0.06,1.305358944
617,5003,26,UF,4,4,2.18,0.03,,Open,20,16.8,1,Yellow,96.36,72.66666667,617,5003,26,2.18,0.03,1.380517627
618,2023,4,LN,0,40,5.29,0.1,,Tree,20,15.9,9,Grey,69.86,52.9,618,2023,4,5.29,0.1,1.05751346
619,2020,4,LN,0,40,2.38,0.05,,Open,20,18.2,9,Yellow,104.71,47.6,619,2020,4,2.38,0.05,1.384749504
620,2005,73,UN,0,40,2.55,0.04,,Tree,20,18,5,Yellow,99.81,63.75,620,2005,73,2.55,0.04,1.334614986
621,3048,40,UF,3,4,2.69,0.03,,Tree,20,15.1,2,Yellow,78.28,89.66666667,621,3048,40,2.69,0.03,1.24775212
622,2002,73,UN,0,40,2.52,0.06,,Open,20,15.5,11,Yellow-Grey,76.35,42,622,2002,73,2.52,0.06,1.185582526
623,2021,4,LN,0,40,1.1,0.02,,Open,20,18.5,9,Yellow,113.85,55,623,2021,4,1.1,0.02,1.481206991
624,2047,76,UN,0,40,1.99,0.03,,Tree,20,18.8,4,Yellow,106.55,66.33333333,624,2047,76,1.99,0.03,1.364112069
625,2017,101,UR,4,4,3.12,0.04,,Tree,20,15.8,6,Yellow,89.5,78,625,2017,101,3.12,0.04,1.363390913
626,2029,5,LN,0,40,1.95,0.03,,Tree,20,17.7,4.5,Yellow,98.72,65,626,2029,5,1.95,0.03,1.342413549
627,3076,38,UF,3,4,4.7,0.07,,Tree,20,15,8,Yellow,70.66,67.14285714,627,3076,38,4.7,0.07,1.133800961
628,2044,76,UN,0,40,4.34,0.05,,Open,20,18.1,8,Grey,90.92,86.8,628,2044,76,4.34,0.05,1.209025049
629,2011,99,UR,3,4,4.89,0.06,,Tree,20,16.5,6,Yellow,75.92,81.5,629,2011,99,4.89,0.06,1.107456565
630,2017,101,UR,4,4,3.12,0.04,,Tree,20,15.8,6,Yellow,89.5,78,630,2017,101,3.12,0.04,1.363390913
631,2031,77,UN,0,40,2.59,0.05,,Open,20,15.8,5,Yellow,79.95,51.8,631,2031,77,2.59,0.05,1.21791177
632,2033,77,UN,0,40,1.92,0.06,,Open,7,7,5,Grey,39.95,32,632,2033,77,1.92,0.06,1.373640827
633,2035,77,UN,0,40,1.96,0.04,,Tree,18,16.4,8,Yellow,94.36,49,633,2035,77,1.96,0.04,1.384836593
634,2036,77,UN,0,40,4.3,0.07,,Tree,14,12.9,5,Grey,65.35,61.42857143,634,2036,77,4.3,0.07,1.219299311
635,2030,5,LN,0,40,2.63,0.04,,Tree,12,12,1,Yellow-Grey,69.42,65.75,635,2030,5,2.63,0.04,1.392380107
636,3044,40,UF,3,4,1.59,0.03,,Open,20,18.4,5,Yellow-Grey,96.71,53,636,3044,40,1.59,0.03,1.26505092
637,2047,76,UN,0,40,1.98,0.03,,Tree,20,18.8,4,Yellow,106.55,66,637,2047,76,1.98,0.03,1.364112069
638,135,43,LF,1,6,2.14,0.03,,Open,20,14.2,4,Yellow,78.39,71.33333333,638,135,43,2.14,0.03,1.328699485
639,2006,73,UN,0,40,7.52,0.19,,Tree,11.5,6.5,,,17.32,39.57894737,639,2006,73,7.52,0.19,0.64134096
640,2033,77,UN,0,40,1.93,0.06,,Open,7,7,5,Grey,39.95,32.16666667,640,2033,77,1.93,0.06,1.373640827
641,2046,76,UN,0,40,6.83,0.1,,Tree,16,14.8,8,Yellow-Grey,59.09,68.3,641,2046,76,6.83,0.1,0.960963121
642,2038,78,UN,0,40,2.72,0.07,,Open,13,10.4,4,Yellow-Grey,47.19,38.85714286,642,2038,78,2.72,0.07,1.092121821
643,2029,5,LN,0,40,1.96,0.03,,Tree,20,17.7,4.5,Yellow,98.72,65.33333333,643,2029,5,1.96,0.03,1.342413549
644,2021,4,LN,0,40,1.12,0.02,,Open,20,18.5,9,Yellow,113.85,56,644,2021,4,1.12,0.02,1.481206991
645,6131,,#N/A,#N/A,#N/A,0.77,0.00209,1% char 1.5% kaolin,N/A,,,,,,368.4210526,645,6131,,0.77,0.00209,#DIV/0!
646,2041,78,UN,0,40,1.6,0.07,,Tree,20,16.3,14,Yellow,85.86,22.85714286,646,2041,78,1.6,0.07,1.267820373
647,2048,76,UN,0,40,4.64,0.07,,Tree,15,12.8,2,Grey,62.84,66.28571429,647,2048,76,4.64,0.07,1.181627673
648,2047,76,UN,0,40,1.94,0.03,,Tree,20,18.8,4,Yellow,106.55,64.66666667,648,2047,76,1.94,0.03,1.364112069
649,2020,4,LN,0,40,2.35,0.05,,Open,20,18.2,9,Yellow,104.71,47,649,2020,4,2.35,0.05,1.384749504
650,2011,99,UR,3,4,4.79,0.05,,Tree,20,16.5,6,Yellow,75.92,95.8,650,2011,99,4.79,0.05,1.107456565
651,3044,40,UF,3,4,1.56,0.03,,Open,20,18.4,5,Yellow-Grey,96.71,52,651,3044,40,1.56,0.03,1.26505092
652,5003,26,UF,4,4,2.12,0.03,,Open,20,16.8,1,Yellow,96.36,70.66666667,652,5003,26,2.12,0.03,1.380517627
653,3075,38,UF,3,4,1.95,0.02,,Open,20,15.7,7,Yellow,90.5,97.5,653,3075,38,1.95,0.02,1.387405377
654,2025,5,LN,0,40,4.95,0.07,,Open,18,14,6,Grey,68.14,70.71428571,654,2025,5,4.95,0.07,1.171462903
655,2045,76,UN,0,40,3.26,0.06,,Open,17,13.4,8,Grey,65.77,54.33333333,655,2045,76,3.26,0.06,1.18134702
656,3044,40,UF,3,4,1.57,0.03,,Open,20,18.4,5,Yellow-Grey,96.71,52.33333333,656,3044,40,1.57,0.03,1.26505092
657,2002,73,UN,0,40,2.5,0.06,,Open,20,15.5,11,Yellow-Grey,76.35,41.66666667,657,2002,73,2.5,0.06,1.185582526
658,5003,26,UF,4,4,2.13,0.03,,Open,20,16.8,1,Yellow,96.36,71,658,5003,26,2.13,0.03,1.380517627
659,2039,78,UN,0,40,1.22,0.04,,Open,20,18.2,5,Yellow,111.95,30.5,659,2039,78,1.22,0.04,1.480495721
660,3076,38,UF,3,4,4.64,0.06,,Tree,20,15,8,Yellow,70.66,77.33333333,660,3076,38,4.64,0.06,1.133800961
661,135,43,LF,1,6,2.13,0.03,,Open,20,14.2,4,Yellow,78.39,71,661,135,43,2.13,0.03,1.328699485
662,2038,78,UN,0,40,2.67,0.07,,Open,13,10.4,4,Yellow-Grey,47.19,38.14285714,662,2038,78,2.67,0.07,1.092121821
663,2033,77,UN,0,40,1.9,0.06,,Open,7,7,5,Grey,39.95,31.66666667,663,2033,77,1.9,0.06,1.373640827
664,2006,73,UN,0,40,7.44,0.18,,Tree,11.5,6.5,,,17.32,41.33333333,664,2006,73,7.44,0.18,0.64134096
665,2039,78,UN,0,40,1.23,0.04,,Open,20,18.2,5,Yellow,111.95,30.75,665,2039,78,1.23,0.04,1.480495721
666,2041,78,UN,0,40,1.61,0.06,,Tree,20,16.3,14,Yellow,85.86,26.83333333,666,2041,78,1.61,0.06,1.267820373
667,2032,77,UN,0,40,1.14,0.03,,Open,19.5,15.7,3,Yellow,93.94,38,667,2032,77,1.14,0.03,1.440142112
668,3053,39,UF,2,4,3.5,0.06,,Tree,20,14.5,4,Yellow,78.64,58.33333333,668,3053,39,3.5,0.06,1.305358944
669,2023,4,LN,0,40,5.23,0.09,,Tree,20,15.9,9,Grey,69.86,58.11111111,669,2023,4,5.23,0.09,1.05751346
670,3044,40,UF,3,4,1.55,0.03,,Open,20,18.4,5,Yellow-Grey,96.71,51.66666667,670,3044,40,1.55,0.03,1.26505092
671,2048,76,UN,0,40,4.64,0.07,,Tree,15,12.8,2,Grey,62.84,66.28571429,671,2048,76,4.64,0.07,1.181627673
672,2046,76,UN,0,40,6.76,0.09,,Tree,16,14.8,8,Yellow-Grey,59.09,75.11111111,672,2046,76,6.76,0.09,0.960963121
673,2020,4,LN,0,40,2.34,0.05,,Open,20,18.2,9,Yellow,104.71,46.8,673,2020,4,2.34,0.05,1.384749504
674,3076,38,UF,3,4,4.64,0.07,,Tree,20,15,8,Yellow,70.66,66.28571429,674,3076,38,4.64,0.07,1.133800961
675,2011,99,UR,3,4,4.79,0.05,,Tree,20,16.5,6,Yellow,75.92,95.8,675,2011,99,4.79,0.05,1.107456565
676,2021,4,LN,0,40,1.09,0.03,,Open,20,18.5,9,Yellow,113.85,36.33333333,676,2021,4,1.09,0.03,1.481206991
677,2036,77,UN,0,40,4.24,0.07,,Tree,14,12.9,5,Grey,65.35,60.57142857,677,2036,77,4.24,0.07,1.219299311
678,2044,76,UN,0,40,4.27,0.05,,Open,20,18.1,8,Grey,90.92,85.4,678,2044,76,4.27,0.05,1.209025049
679,2029,5,LN,0,40,1.95,0.03,,Tree,20,17.7,4.5,Yellow,98.72,65,679,2029,5,1.95,0.03,1.342413549
680,2045,76,UN,0,40,3.24,0.06,,Open,17,13.4,8,Grey,65.77,54,680,2045,76,3.24,0.06,1.18134702
681,3048,40,UF,3,4,2.63,0.03,,Tree,20,15.1,2,Yellow,78.28,87.66666667,681,3048,40,2.63,0.03,1.24775212
682,2035,77,UN,0,40,1.95,0.04,,Tree,18,16.4,8,Yellow,94.36,48.75,682,2035,77,1.95,0.04,1.384836593
683,2005,73,UN,0,40,2.51,0.04,,Tree,20,18,5,Yellow,99.81,62.75,683,2005,73,2.51,0.04,1.334614986
684,2031,77,UN,0,40,2.55,0.05,,Open,20,15.8,5,Yellow,79.95,51,684,2031,77,2.55,0.05,1.21791177
